100,'Checked by data originator. Valid measurement, overrides any invalid flags','V'
101,'Denuder capture efficiency < 75%. Valid measurement','V'
102,'CV of replicate diffusion tubes > 30 %. Valid measurement','V'
103,'CV of replicate ALPHA samplers > 15 %. Valid measurement','V'
110,'Episode data checked and accepted by data originator. Valid measurement','V'
111,'Irregular data checked and accepted by data originator. Valid measurement','V'
120,'Sample reanalysed with similar results. Valid measurement','V'
147,'Below theoretical detection limit or formal Q/A limit, but a value has been measured and reported and is considered valid','V'
185,'Possible local contamination indicated by wind direction or velocity','V'
186,'Possible local contamination indicated by single scattering albedo (auto)','V'
187,'Possible local contamination indicated by occurrence of new particles (auto)','V'
188,'Possible local contamination indicated by low wind speed (auto)','V'
189,'Possible local contamination indicated by wind from contaminated sector (auto)','V'
190,'Not corrected for cross-sensitivity to particle scattering','V'
191,'Data not truncation corrected - Valid measurement','V'
210,'Episode data checked and accepted by database co-ordinator. Valid measurement','V'
211,'Irregular data checked and accepted by database co-ordinator. Valid measurement','V'
220,'Preliminary data','V'
247,'Overlapping sample interval was corrected by the database co-ordinator. Possible wrong sample time (used for historic data only).','V'
248,'Illegal flag was removed by the database co-ordinator. Lost flag information. (used for historic data only)','V'
249,'Apparent typing error corrected. Valid measurement','V'
250,'Considerable sea salt contribution, but considered valid','V'
251,'Invalid due to large sea salt contribution','I'
256,'Invalidated by database co-ordinator','I'
257,'Extremely low value, outside four times standard deviation in a log-normal distribution','V'
258,'Extremely high value, outside four times standard deviation in a log-normal distribution','V'
259,'Unspecified error expected','I'
260,'Contamination suspected','I'
275,'Inconsistency between measured and estimated conductivity, but considered valid','V'
276,'Inconsistency discovered through ion balance calculations, but considered valid','V'
277,'Invalid due to inconsistency between measured and estimated conductivity','I'
278,'Invalid due to inconsistency discovered through ion balance calculations','I'
298,'Gold trap inconsistency in mercury monitor','V'
299,'Inconsistent with another unspecified measurement','V'
370,'For monthly values using samples partly in two month, the number of days are used for weighing the sample','V'
380,'More than 50% of the measurements are below detection limit','V'
382,'More than 75% of the measurements are below detection limit','V'
388,'Data completeness less than 66%','V'
389,'Data completeness less than 66%','I'
390,'Data completeness less than 50%','V'
391,'Data completeness less than 50%, data considered invalid','I'
392,'Data completeness less than 75%','V'
393,'Data completeness less than 75%, data considered invalid','I'
394,'Data completeness less than 90%','V'
395,'Data completeness less than 90%, data considered invalid','I'
410,'Sahara dust event','V'
411,'Aeolian dust event','V'
420,'Preliminary data','V'
440,'Reconstructed or recalculated data','V'
450,'Considerable sea salt contribution, but considered valid','V'
451,'Invalid due to large sea salt contribution','I'
452,'Invalid due to large uncertainty','I'
456,'Invalidated by data originator','I'
457,'Extremely low value, outside four times standard deviation in a lognormal distribution','V'
458,'Extremely high value, outside four times standard deviation in a lognormal distribution','V'
459,'Extreme value, unspecified error','I'
460,'Contamination suspected','I'
470,'Particulate mass concentration higher than parallel mass concentration measurement with higher cut off i.e PM1_mass > PM25_mass and PM25_mass > PM10_mass','V'
471,'Particulate mass concentration higher than parallel mass concentration measurement with higher cut off i.e PM1_mass > PM25_mass and PM25_mass > PM10_mass. Considered invalid','I'
472,'Less accurate than normal due to high concentration(s)','V'
475,'Inconsistency between measured and estimated conductivity, but considered valid','V'
476,'Inconsistency discovered through ion balance calculations, but considered valid','V'
477,'Invalid due to inconsistency between measured and estimated conductivity','I'
478,'Invalid due to inconsistency discovered through ion balance calculations','I'
498,'Gold trap inconsistency in mercury monitor','V'
499,'Inconsistent with another unspecified measurement','V'
521,'Bactericide was added to sample for storage under warm climate. Considered valid','V'
530,'Invalid due to too low or too high recovery','I'
